iter	Passed	Remaining
0	1	191
1	6	321
2	9	315
3	11	280
4	14	274
5	27	424
6	32	430
7	47	540
8	57	583
9	59	535
10	61	497
11	63	467
12	68	461
13	72	444
14	74	424
15	76	403
16	78	382
17	89	409
18	92	392
19	93	375
20	105	395
21	109	389
22	118	397
23	123	389
24	125	375
25	135	384
26	138	373
27	140	360
28	150	368
29	153	357
30	155	345
31	156	333
32	160	326
33	163	316
34	165	306
35	166	296
36	172	293
37	175	286
38	177	277
39	179	269
40	181	260
41	182	251
42	190	252
43	194	247
44	196	239
45	197	232
46	202	228
47	204	221
48	207	216
49	214	214
50	216	208
51	218	201
52	220	195
53	222	189
54	223	182
55	229	180
56	231	174
57	233	169
58	235	163
59	237	158
60	239	152
61	243	149
62	246	144
63	248	139
64	256	138
65	258	133
66	262	129
67	264	124
68	267	120
69	272	116
70	275	112
71	278	108
72	282	104
73	284	100
74	288	96
75	290	91
76	292	87
77	293	82
78	295	78
79	299	74
80	301	70
81	303	66
82	305	62
83	306	58
84	308	54
85	309	50
86	316	47
87	318	43
88	319	39
89	321	35
90	322	31
91	324	28
92	329	24
93	333	21
94	335	17
95	337	14
96	338	10
97	347	7
98	351	3
99	353	0
